configuration,seed,final_mse,final_fitness,best_observed_mse,generation_best,generations_run,runtime_s,ga_elapsed_s,stop_reason,source,saved_config
ranking_one_point_gene_t50_p30_g300_26cbf9f5bf53,1,0.05464935157280286,0.9481824442490729,0.05464935157280286,296,300,4.7402919590094825,4.177201833008439,maximum generations reached,/Users/hannahkalager/72.27-Delivery-2/results/pilot_argentina_100/ranking_one_point_gene_t50_p30_g300_26cbf9f5bf53/seed_1/triangles.json,"{""boltzmann_temperature"": 1.0, ""crossover_method"": ""one_point"", ""crossover_rate"": 0.9, ""extra"": {}, ""min_error"": null, ""mutation_method"": ""gene"", ""mutation_rate"": 0.05, ""n_generations"": 300, ""n_triangles"": 50, ""population_size"": 30, ""random_seed"": 1, ""selection_method"": ""ranking"", ""survival_strategy"": ""additive"", ""target_image_path"": ""/Users/hannahkalager/72.27-Delivery-2/data/flag_100.png"", ""tournament_probability"": 0.75, ""tournament_size"": 3}"
ranking_one_point_gene_t50_p30_g300_26cbf9f5bf53,2,0.06979026511722126,0.9347626657365646,0.06970207240391413,292,300,4.689640459007933,4.160022290991037,maximum generations reached,/Users/hannahkalager/72.27-Delivery-2/results/pilot_argentina_100/ranking_one_point_gene_t50_p30_g300_26cbf9f5bf53/seed_2/triangles.json,"{""boltzmann_temperature"": 1.0, ""crossover_method"": ""one_point"", ""crossover_rate"": 0.9, ""extra"": {}, ""min_error"": null, ""mutation_method"": ""gene"", ""mutation_rate"": 0.05, ""n_generations"": 300, ""n_triangles"": 50, ""population_size"": 30, ""random_seed"": 2, ""selection_method"": ""ranking"", ""survival_strategy"": ""additive"", ""target_image_path"": ""/Users/hannahkalager/72.27-Delivery-2/data/flag_100.png"", ""tournament_probability"": 0.75, ""tournament_size"": 3}"
ranking_one_point_gene_t50_p30_g300_26cbf9f5bf53,3,0.06272866928766026,0.9409739559113364,0.06272866928766026,298,300,4.654494957998395,4.110181249998277,maximum generations reached,/Users/hannahkalager/72.27-Delivery-2/results/pilot_argentina_100/ranking_one_point_gene_t50_p30_g300_26cbf9f5bf53/seed_3/triangles.json,"{""boltzmann_temperature"": 1.0, ""crossover_method"": ""one_point"", ""crossover_rate"": 0.9, ""extra"": {}, ""min_error"": null, ""mutation_method"": ""gene"", ""mutation_rate"": 0.05, ""n_generations"": 300, ""n_triangles"": 50, ""population_size"": 30, ""random_seed"": 3, ""selection_method"": ""ranking"", ""survival_strategy"": ""additive"", ""target_image_path"": ""/Users/hannahkalager/72.27-Delivery-2/data/flag_100.png"", ""tournament_probability"": 0.75, ""tournament_size"": 3}"
ranking_one_point_gene_t50_p30_g300_26cbf9f5bf53,4,0.06368583381908531,0.9401272144516337,0.06368583381908531,300,300,4.640036124998005,4.111697707994608,maximum generations reached,/Users/hannahkalager/72.27-Delivery-2/results/pilot_argentina_100/ranking_one_point_gene_t50_p30_g300_26cbf9f5bf53/seed_4/triangles.json,"{""boltzmann_temperature"": 1.0, ""crossover_method"": ""one_point"", ""crossover_rate"": 0.9, ""extra"": {}, ""min_error"": null, ""mutation_method"": ""gene"", ""mutation_rate"": 0.05, ""n_generations"": 300, ""n_triangles"": 50, ""population_size"": 30, ""random_seed"": 4, ""selection_method"": ""ranking"", ""survival_strategy"": ""additive"", ""target_image_path"": ""/Users/hannahkalager/72.27-Delivery-2/data/flag_100.png"", ""tournament_probability"": 0.75, ""tournament_size"": 3}"
ranking_one_point_gene_t50_p30_g300_26cbf9f5bf53,5,0.05772008946104269,0.9454297124199902,0.05772008946104269,300,300,4.849269958998775,4.302773832998355,maximum generations reached,/Users/hannahkalager/72.27-Delivery-2/results/pilot_argentina_100/ranking_one_point_gene_t50_p30_g300_26cbf9f5bf53/seed_5/triangles.json,"{""boltzmann_temperature"": 1.0, ""crossover_method"": ""one_point"", ""crossover_rate"": 0.9, ""extra"": {}, ""min_error"": null, ""mutation_method"": ""gene"", ""mutation_rate"": 0.05, ""n_generations"": 300, ""n_triangles"": 50, ""population_size"": 30, ""random_seed"": 5, ""selection_method"": ""ranking"", ""survival_strategy"": ""additive"", ""target_image_path"": ""/Users/hannahkalager/72.27-Delivery-2/data/flag_100.png"", ""tournament_probability"": 0.75, ""tournament_size"": 3}"
roulette_one_point_gene_t50_p30_g300_0f89922a8f3e,1,0.06758323638964335,0.9366951127687274,0.06736129280301621,274,300,4.860900750005385,4.312985915996251,maximum generations reached,/Users/hannahkalager/72.27-Delivery-2/results/pilot_argentina_100/roulette_one_point_gene_t50_p30_g300_0f89922a8f3e/seed_1/triangles.json,"{""boltzmann_temperature"": 1.0, ""crossover_method"": ""one_point"", ""crossover_rate"": 0.9, ""extra"": {}, ""min_error"": null, ""mutation_method"": ""gene"", ""mutation_rate"": 0.05, ""n_generations"": 300, ""n_triangles"": 50, ""population_size"": 30, ""random_seed"": 1, ""selection_method"": ""roulette"", ""survival_strategy"": ""additive"", ""target_image_path"": ""/Users/hannahkalager/72.27-Delivery-2/data/flag_100.png"", ""tournament_probability"": 0.75, ""tournament_size"": 3}"
roulette_one_point_gene_t50_p30_g300_0f89922a8f3e,2,0.07938583753973864,0.9264527708454243,0.07938583753973864,300,300,4.663264167000307,4.125445958998171,maximum generations reached,/Users/hannahkalager/72.27-Delivery-2/results/pilot_argentina_100/roulette_one_point_gene_t50_p30_g300_0f89922a8f3e/seed_2/triangles.json,"{""boltzmann_temperature"": 1.0, ""crossover_method"": ""one_point"", ""crossover_rate"": 0.9, ""extra"": {}, ""min_error"": null, ""mutation_method"": ""gene"", ""mutation_rate"": 0.05, ""n_generations"": 300, ""n_triangles"": 50, ""population_size"": 30, ""random_seed"": 2, ""selection_method"": ""roulette"", ""survival_strategy"": ""additive"", ""target_image_path"": ""/Users/hannahkalager/72.27-Delivery-2/data/flag_100.png"", ""tournament_probability"": 0.75, ""tournament_size"": 3}"
roulette_one_point_gene_t50_p30_g300_0f89922a8f3e,3,0.07401746640043325,0.9310835543033555,0.071722986609782,249,300,5.128030791995116,4.508908125004382,maximum generations reached,/Users/hannahkalager/72.27-Delivery-2/results/pilot_argentina_100/roulette_one_point_gene_t50_p30_g300_0f89922a8f3e/seed_3/triangles.json,"{""boltzmann_temperature"": 1.0, ""crossover_method"": ""one_point"", ""crossover_rate"": 0.9, ""extra"": {}, ""min_error"": null, ""mutation_method"": ""gene"", ""mutation_rate"": 0.05, ""n_generations"": 300, ""n_triangles"": 50, ""population_size"": 30, ""random_seed"": 3, ""selection_method"": ""roulette"", ""survival_strategy"": ""additive"", ""target_image_path"": ""/Users/hannahkalager/72.27-Delivery-2/data/flag_100.png"", ""tournament_probability"": 0.75, ""tournament_size"": 3}"
roulette_one_point_gene_t50_p30_g300_0f89922a8f3e,4,0.07109518588797527,0.9336238395759057,0.07101119503251438,257,300,4.887579041998833,4.301190708996728,maximum generations reached,/Users/hannahkalager/72.27-Delivery-2/results/pilot_argentina_100/roulette_one_point_gene_t50_p30_g300_0f89922a8f3e/seed_4/triangles.json,"{""boltzmann_temperature"": 1.0, ""crossover_method"": ""one_point"", ""crossover_rate"": 0.9, ""extra"": {}, ""min_error"": null, ""mutation_method"": ""gene"", ""mutation_rate"": 0.05, ""n_generations"": 300, ""n_triangles"": 50, ""population_size"": 30, ""random_seed"": 4, ""selection_method"": ""roulette"", ""survival_strategy"": ""additive"", ""target_image_path"": ""/Users/hannahkalager/72.27-Delivery-2/data/flag_100.png"", ""tournament_probability"": 0.75, ""tournament_size"": 3}"
roulette_one_point_gene_t50_p30_g300_0f89922a8f3e,5,0.07261621626090875,0.9322999082430009,0.07105411979676965,280,300,6.054828874999657,5.289192208001623,maximum generations reached,/Users/hannahkalager/72.27-Delivery-2/results/pilot_argentina_100/roulette_one_point_gene_t50_p30_g300_0f89922a8f3e/seed_5/triangles.json,"{""boltzmann_temperature"": 1.0, ""crossover_method"": ""one_point"", ""crossover_rate"": 0.9, ""extra"": {}, ""min_error"": null, ""mutation_method"": ""gene"", ""mutation_rate"": 0.05, ""n_generations"": 300, ""n_triangles"": 50, ""population_size"": 30, ""random_seed"": 5, ""selection_method"": ""roulette"", ""survival_strategy"": ""additive"", ""target_image_path"": ""/Users/hannahkalager/72.27-Delivery-2/data/flag_100.png"", ""tournament_probability"": 0.75, ""tournament_size"": 3}"
